央视频道,#genre#

CCTV1综合,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV1综合,https://xmlive.zeabur.app/yw/whyd?id=cctv1
CCTV1综合,http://go.bkpcp.top/mg/cctv1
CCTV1综合,http://106.115.24.3:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV2财经,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV2财经,https://xmlive.zeabur.app/yw/whyd?id=cctv2
CCTV2财经,http://go.bkpcp.top/mg/cctv2
CCTV2财经,http://106.115.24.3:9901/tsfile/live/faacts/1001_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV3综艺,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV3综艺,https://xmlive.zeabur.app/yw/whyd?id=cctv3
CCTV3综艺,http://go.bkpcp.top/mg/cctv3
CCTV3综艺,http://106.115.24.3:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV4中文国际,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV4中文国际,https://xmlive.zeabur.app/yw/whyd?id=cctv4
CCTV4中文国际,http://go.bkpcp.top/mg/cctv4
CCTV4中文国际,http://106.115.24.3:9901/tsfile/live/faacts/1003_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV5体育,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV5体育,https://xmlive.zeabur.app/yw/whyd?id=cctv5
CCTV5体育,http://go.bkpcp.top/mg/cctv5
CCTV5体育,http://106.115.24.3:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV6电影,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV6电影,https://xmlive.zeabur.app/yw/whyd?id=cctv6
CCTV6电影,http://go.bkpcp.top/mg/cctv6
CCTV6电影,http://106.115.24.3:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV7军农,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV7军农,https://xmlive.zeabur.app/yw/whyd?id=cctv7
CCTV7军农,http://goo.bkpcp.top/mg/cctv7
CCTV7军农,http://106.115.24.3:9901/tsfile/live/faacts/1031_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV8电视剧,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV8电视剧,https://xmlive.zeabur.app/yw/whyd?id=cctv8
CCTV8电视剧,http://go.bkpcp.top/mg/cctv8
CCTV8电视剧,http://106.115.24.3:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV9纪录,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV9纪录,https://xmlive.zeabur.app/yw/whyd?id=cctv9
CCTV9纪录,http://go.bkpcp.top/mg/cctv9
CCTV9纪录,http://106.115.24.3:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV10科教,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV10科教,https://xmlive.zeabur.app/yw/whyd?id=cctv10
CCTV10科教,http://go.bkpcp.top/mg/cctv10
CCTV10科教,http://106.115.24.3:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV11戏曲,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV11戏曲,https://xmlive.zeabur.app/yw/whyd?id=cctv11
CCTV11戏曲,http://go.bkpcp.top/mg/cctv11
CCTV11戏曲,http://106.115.24.3:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV12,https://xmlive.zeabur.app/yw/whyd?id=cctv12
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV12,http://106.115.24.3:9901/tsfile/live/faacts/1036_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV13新闻,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV13新闻,https://xmlive.zeabur.app/yw/whyd?id=cctv13
CCTV13新闻,http://go.bkpcp.top/mg/cctv13
CCTV13新闻,http://106.115.24.3:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV14少儿,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV14少儿,https://xmlive.zeabur.app/yw/whyd?id=cctv14
CCTV14少儿,http://go.bkpcp.top/mg/cctv14
CCTV14少儿,http://106.115.24.3:9901/tsfile/live/faacts/1038_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV15音乐,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV15音乐,https://xmlive.zeabur.app/yw/whyd?id=cctv15
CCTV15音乐,http://go.bkpcp.top/mg/cctv15
CCTV15音乐,http://106.115.24.3:9901/tsfile/live/faacts/1039_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV16,http://rihou.cc:555/tv/[mg]CCTV-16
CCTV16,http://t.061899.xyz/tl/tl.php?id=cctv16
CCTV16,http://hls.netlive.ggff.net/hls/cctv16.m3u8
CCTV16,http://120.198.84.146:9901/tsfile/live/1087_1.m3u8

CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17
CCTV17,https://xmlive.zeabur.app/yw/whyd?id=cctv17
CCTV17,http://go.bkpcp.top/mg/cctv17
CCTV17,http://106.115.24.3:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV5+,https://xmlive.zeabur.app/yw/whyd?id=cctv5p
CCTV5+,http://go.bkpcp.top/mg/cctv5p?$go
CCTV5+,http://61.178.227.57:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV1综合,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226635/1.m3u8
CCTV2财经,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226739/1.m3u8
CCTV3综艺,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226720/1.m3u8
CCTV4中文国际,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226725/1.m3u8
CCTV5体育,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226731/1.m3u8
CCTV5+,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226711/1.m3u8
CCTV6电影,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226699/1.m3u8
CCTV7军农,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226721/1.m3u8
CCTV8电视剧,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226715/1.m3u8
CCTV9纪录,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226651/1.m3u8
CCTV10科教,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226708/1.m3u8
CCTV11戏曲,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226714/1.m3u8
CCTV12,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226723/1.m3u8
CCTV13新闻,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226717/1.m3u8
CCTV14少儿,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226645/1.m3u8
CCTV15音乐,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226648/1.m3u8
CCTV16,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226825/1.m3u8
CCTV17,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226660/1.m3u8

卫视频道,#genre#

湖南卫视,http://t.061899.xyz/tl/tl.php?id=hunws
湖南卫视,http://106.115.24.3:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://go.bkpcp.top/mg/hunws$咪咕源
湖南卫视,http://119.91.7.169:2026/ysws.php?id=湖南卫视

浙江卫视,http://t.061899.xyz/tl/tl.php?id=zjws
浙江卫视,http://106.115.24.3:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8?
浙江卫视,http://119.91.7.169:2026/ysws.php?id=浙江卫视

江苏卫视,http://iptv.4666888.xyz/iptv2A.php?id=15
江苏卫视,http://106.115.24.3:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://go.bkpcp.top/mg/jsws$咪咕源
江苏卫视,http://119.91.7.169:2026/ysws.php?id=江苏卫视

安徽卫视,http://t.061899.xyz/tl/tl.php?id=ahws
安徽卫视,http://106.115.24.3:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://go.bkpcp.top/mg/ahws 
安徽卫视,http://119.91.7.169:2026/ysws.php?id=安徽卫视

