🕘️更新时间,#genre#
2026-03-16 14:16:50,https://t.freetv.fun/live/cctv1-1.php

📺央视频道,#genre#
CCTV-1,https://t.freetv.fun/live/cctv1-1.php
CCTV-1,https://t.freetv.fun/live/cctv1.m3u8
CCTV-1,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226737/1.m3u8
CCTV-1,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226635/1.m3u8
CCTV-1,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226638/1.m3u8
CCTV-2,http://pull-hls-f11.douyincdn.com/media/stream-118899562654991020.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1773806307&major_anchor_level=common&sign=26df1db545d069eb52f37cc9e31f4d3c&t_id=037-2026031111582683916CAD1DF66CD09662-UtkRAa
CCTV-2,http://pull-hls-f11.douyincdn.com/media/stream-118899562654991020.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1773710152&major_anchor_level=common&sign=eaee3f645da1a48db348162ff5e87ec7&t_id=037-202603100915521F6C4DEA8E577F916425-NPxEqO
CCTV-2,http://pull-hls-f11.douyincdn.com/media/stream-118899562654991020.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1773485225&major_anchor_level=common&sign=3d1a5df7eb85afad5490805a2e5f1586&t_id=037-2026030718470509DC28CF4944BE5BFF72-rNcHNp
CCTV-2,https://t.freetv.fun/live/cctv2.m3u8
CCTV-2,https://t.freetv.fun/live/cctv2-1.php
CCTV-3,https://t.freetv.fun/live/cctv3.php
CCTV-3,https://t.freetv.fun/live/cctv3-3.m3u8
CCTV-3,https://t.freetv.fun/live/cctv3-12.m3u8
CCTV-3,https://t.freetv.fun/live/cctv3-4.php
CCTV-3,https://t.freetv.fun/live/cctv3-9.m3u8
CCTV-4,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4-1.php
CCTV-4,https://t.freetv.fun/live/cctv4-3.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4-4.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4.m3u8
CCTV-5,https://t.freetv.fun/live/cctv5.m3u8
CCTV-5,https://t.freetv.fun/live/cctv5-4.php
CCTV-5,https://t.freetv.fun/live/cctv5-2.php
CCTV-5,https://t.freetv.fun/live/cctv5-3.m3u8
CCTV-5,https://t.freetv.fun/live/cctv5-5.m3u8
CCTV-5+,https://live.chinacert.cftest5.cn/mg/?id=641886773
CCTV-5+,https://t.freetv.fun/live/cctv5-plus.php
CCTV-5+,https://t.freetv.fun/live/cctv5-plus-2.php
CCTV-5+,https://t.freetv.fun/live/cctv5-plus-3.m3u8
CCTV-5+,https://t.freetv.fun/live/cctv5-plus-5.m3u8
CCTV-6,https://t.freetv.fun/live/cctv6.php
CCTV-6,https://t.freetv.fun/live/cctv6-2.m3u8
CCTV-6,https://t.freetv.fun/live/cctv-6gao-qing.m3u8
CCTV-6,https://t.freetv.fun/live/cctv-6hd.m3u8
CCTV-6,https://t.freetv.fun/live/cctv-6hd-1.m3u8
CCTV-7,https://t.freetv.fun/live/cctv7-2.m3u8
CCTV-7,https://t.freetv.fun/live/cctv7-3.m3u8
CCTV-7,https://t.freetv.fun/live/cctv7-4.php
CCTV-7,https://t.freetv.fun/live/cctv7-5.m3u8
CCTV-7,https://t.freetv.fun/live/cctv-7gao-qing.m3u8
CCTV-8,https://t.freetv.fun/live/cctv-8hd.m3u8
CCTV-8,https://t.freetv.fun/live/cctv-8gao-qing.m3u8
CCTV-8,https://t.freetv.fun/live/cctv-8hd-1.m3u8
CCTV-8,https://t.freetv.fun/live/cctv8.php
CCTV-8,https://t.freetv.fun/live/cctv8-4.php
CCTV-9,https://t.freetv.fun/live/cctv9.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9-3.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9-2.m3u8
CCTV-9,https://t.freetv.fun/live/cctv-9hd.m3u8
CCTV-9,https://t.freetv.fun/live/cctv-9gao-qing.m3u8
CCTV-10,https://t.freetv.fun/live/cctv-10-1.php
CCTV-10,https://t.freetv.fun/live/cctv10.php
CCTV-10,https://t.freetv.fun/live/cctv10-1.m3u8
CCTV-10,https://t.freetv.fun/live/cctv10-4.m3u8
CCTV-10,https://t.freetv.fun/live/cctv-10gao-qing.m3u8
CCTV-11,https://t.freetv.fun/live/cctv11.php
CCTV-11,https://t.freetv.fun/live/cctv11-1.m3u8
CCTV-11,https://t.freetv.fun/live/cctv11-10.m3u8
CCTV-11,https://t.freetv.fun/live/cctv11-16.m3u8
CCTV-11,https://t.freetv.fun/live/cctv-11.php
CCTV-12,https://t.freetv.fun/live/cctv12-2.php
CCTV-12,https://t.freetv.fun/live/cctv12.php
CCTV-12,https://t.freetv.fun/live/cctv-12.php
CCTV-12,https://t.freetv.fun/live/cctv-12gao-qing.m3u8
CCTV-12,https://t.freetv.fun/live/cctv-12hd.m3u8
CCTV-13,http://pull-hls-f11.douyincdn.com/media/stream-695465280141001388.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1773914533&major_anchor_level=common&sign=00e2ac87499b260c729b1f091036f02a&t_id=037-20260312180213C90050E21D269F317686-un9xrW
CCTV-13,http://pull-hls-f11.douyincdn.com/media/stream-695440843385864876.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1773804633&major_anchor_level=common&sign=2109708d3a2da5de3a916933ce117b28&t_id=037-20260311113033D59DBA10999672734FAF-UWe230
CCTV-13,https://cdn3.163189.xyz/163189/cctv13
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8
CCTV-13,https://t.freetv.fun/live/cctv13-21.m3u8
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8
CCTV-14,https://t.freetv.fun/live/cctv14.php
CCTV-14,https://t.freetv.fun/live/cctv14-8.m3u8
CCTV-14,https://t.freetv.fun/live/cctv14-1.m3u8
CCTV-14,https://t.freetv.fun/live/cctv-14.php
CCTV-15,https://t.freetv.fun/live/cctv15-1.m3u8
CCTV-15,https://t.freetv.fun/live/cctv15-2.php
CCTV-15,https://t.freetv.fun/live/cctv15-5.m3u8
CCTV-15,https://t.freetv.fun/live/cctv15-10.m3u8
CCTV-15,https://t.freetv.fun/live/cctv-15gao-qing.m3u8
CCTV-16,https://epg.pw/stream/c1beb2abcba5aef09c2f58efc3ca84b76de2c7b9cf60762b0d79772d9e70d454.m3u8
CCTV-16,https://t.freetv.fun/live/cctv16-1.php
CCTV-16,https://t.freetv.fun/live/cctv16-3.m3u8
CCTV-16,https://t.freetv.fun/live/cctv16-5.php
CCTV-16,https://t.freetv.fun/live/cctv16.m3u8
CCTV-17,https://t.freetv.fun/live/cctv17-5.php
CCTV-17,https://t.freetv.fun/live/cctv17.php
CCTV-17,https://t.freetv.fun/live/cctv-17.php
CCTV-17,https://t.freetv.fun/live/cctv-17hd.m3u8
CCTV-17,https://t.freetv.fun/live/cctv-17hd-1.m3u8
CETV-1,https://t.freetv.fun/live/cetv1-2.m3u8
CETV-1,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226673/1.m3u8
CETV-1,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226712/1.m3u8
CETV-1,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226673/1.m3u8
CETV-1,http://gslbmgsplive.miguvideo.com/migu/kailu/cetv1/50/20240709/index.m3u8?msisdn=20260313132616b0b136dbe68145bd8b17a66d2936d920&mdspid=&spid=699004&netType=0&sid=5910022150&pid=2028597139&timestamp=20260313132616&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=923287154&ParentNodeID=-99&assertID=5910022150&client_ip=114.245.219.76&SecurityKey=20260313132616&promotionId=&mvid=5900006636&mcid=500020&playurlVersion=WX-A1-9.2.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=2c18f6eb8df513d00cbc5998be98c305&ddCalcu=520ce311c838f096eebb889d9f55c1b3cd00
CETV-2,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226718/1.m3u8
CETV-2,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226718/1.m3u8
CETV-2,http://gslbmgsplive.miguvideo.com/migu/kailu/cetv2/50/20240709/index.m3u8?msisdn=202603131326176c3fe80549cb4649a90cbf844a769ae6&mdspid=&spid=699004&netType=0&sid=5910022152&pid=2028597139&timestamp=20260313132617&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=923287211&ParentNodeID=-99&assertID=5910022152&client_ip=114.245.219.76&SecurityKey=20260313132617&promotionId=&mvid=5900006638&mcid=500020&playurlVersion=WX-A1-9.2.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=ee0c3f56b00fd4fbc070d85ef30a0aa7&ddCalcu=7eaeea010c3a300f35f6eb5080df0d740fcb
